ZD4D2;3.517.143.795;0;0.922628963
ZD4D3;2.714.665.962;0;0
ZD5D2;6.859.746.057;588.511.858;101.048.908
ZD5D3;-4.351.922.753;-6.524.267.322;-1.103.311.273
Z5;-6.394.954.483;-9.025.180.601;-0.817189711
ZD6D2;0.262812927;-1.567.268.221;136.415.036
ZD6D3;-4.704.844.224;-6.801.522.977;0.967501997
Z6;2.050.218.158;2.218.678.179;-0.475996764
Z6s;-1.354.818.548;0.781610665;1.707.084.621
ZD7D2;1.327.401.093;3.492.360.488;-2.617.864.176
ZD7D3;0;0;0
Z7u13;1.100.219.089;0;0
Z7u135;5.106.777.837;-1.630.175.216;1.710.180.811
ZD8D2;-3.102.246.019;-6.072.633.322;2.513.867.451
ZD8D3;0.565517215;0;0
Z8uZZ;3.040.193.788;3.818.377.137;-7.378.036.805
Z8uE;4.659.842.768;0;0
Z8uZE;8.980.190.818;0;0
Z8uEE;1.255.976.236;0;0
Z8u136;4.490.478.827;0;0
Z8u1357;9.632.885.961;110.877.703;-2.324.543.455
ZD9D2;2.624.975.902;0;0
ZD9D3;0;0;0
ZD10Cd;3.983.492.696;0;0
ZD10D2;-6.493.229.649;0;0
ZD10D3;0;0;0
Z10u1267;3.900.009.479;0;0
ZD12D2;-0.877770804;-1.337.179.721;1.179.886.604
Z12u159E;4.199.970.159;0;0
A2A2;5.959.650.416;3.212.696.091;2.505.364.149
A2A3;1.420.691.145;1.333.491.133;1.374.559.926
A3A3;2.021.395.104;1.721.090.106;5.147.101.434
C1A3;-2.224.398.123;-2.892.871.076;-0.388231394
C2A3;-1.954.983.984;-2.121.524.182;-0.28903335
C3A3;-4.105.504.953;2.478.863.366;-6.697.186.657
C4A3;1.263.860.952;8.948.662.093;342.066.209
A2H;793.116.364;4.960.926.998;2.972.800.767
ZA11;5.817.844.353;925.924.377;-4.275.017.847
ZA14;2.528.822.292;0;0
ZA44;0;0;0
ZA1'1;5.913.681.014;9.385.038.295;-4.241.160.223
ZA1'4;0;0;0
ZA1'1';8.472.566.624;1.143.916.385;-3.851.634.049
ZA1'4';0;0;0
ZA4'1;0;0;0
ZA4'4';0;0;0
D2A3;1.099.946.221;-3.451.239.004;1.530.089.395
D3A3;1.698.919.104;1.016.577.929;7.547.011.805
T2A3;5.288.209.949;6.527.883.437;-1.140.189.934
ZAA;-4.441.951.411;0.98883249;-2.513.589.321
Ca3Ca3;-384.029.884;-1.016.989.364;1.140.717.467
ZA1A;6.622.857.059;1.276.506.562;-1.010.542.961
